Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
clean.RF22B_S91_L001_R1_001	clean.RF22B_S91_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4075899.0	0.0	15-101	45.0	63.327203068846416	98.54102616379846	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
clean.RF22B_S91_L002_R1_001	clean.RF22B_S91_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4078268.0	0.0	15-101	45.0	62.99678153267071	98.55313235912892	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
clean.RF22C_S126_L001_R1_001	clean.RF22C_S126_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4081432.0	0.0	15-101	46.0	60.41360917691595	97.0701792900139	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF22C_S126_L002_R1_001	clean.RF22C_S126_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4088701.0	0.0	15-101	46.0	59.86217388041249	97.07015259858815	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF23A_S125_L001_R1_001	clean.RF23A_S125_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3775465.0	0.0	15-101	46.0	65.9926903131242	97.35214814598996	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF23A_S125_L002_R1_001	clean.RF23A_S125_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3787480.0	0.0	15-101	46.0	65.56138618190882	97.35659171797607	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF23C_S108_L001_R1_001	clean.RF23C_S108_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3811801.0	0.0	15-101	46.0	65.2181535539509	97.5782308677709	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF23C_S108_L002_R1_001	clean.RF23C_S108_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3817355.0	0.0	15-101	46.0	65.07702897144377	97.58791886004839	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF24B_S92_L001_R1_001	clean.RF24B_S92_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4119157.0	0.0	15-101	46.0	67.44744407789581	97.24708817847923	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF24B_S92_L002_R1_001	clean.RF24B_S92_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4116306.0	0.0	15-101	46.0	66.74626051114609	97.24763416519569	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF24D_S111_L001_R1_001	clean.RF24D_S111_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4145259.0	0.0	15-101	46.0	63.05042938391902	97.75829351073118	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF24D_S111_L002_R1_001	clean.RF24D_S111_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4150066.0	0.0	15-101	46.0	62.54177889110184	97.76267606346501	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF25A_S96_L001_R1_001	clean.RF25A_S96_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3965106.0	0.0	15-101	46.0	65.393797583964	98.6217634534865	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
clean.RF25A_S96_L002_R1_001	clean.RF25A_S96_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3972620.0	0.0	15-101	46.0	64.84671289381264	98.63291077424974	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
clean.RF25C_S110_L001_R1_001	clean.RF25C_S110_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3921206.0	0.0	15-101	46.0	63.405670334218335	97.76040075425774	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF25C_S110_L002_R1_001	clean.RF25C_S110_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3923758.0	0.0	15-101	46.0	63.191330024493794	97.77153738839144	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RS11B_S86_L001_R1_001	clean.RS11B_S86_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3988387.0	0.0	15-101	46.0	62.09981412767564	98.38152365856172	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
clean.RS11B_S86_L002_R1_001	clean.RS11B_S86_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3984819.0	0.0	15-101	46.0	61.670390723321724	98.39026113858623	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
clean.RS11D_S87_L001_R1_001	clean.RS11D_S87_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3506173.0	0.0	15-101	46.0	61.94042184779725	97.6533416919245	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RS11D_S87_L002_R1_001	clean.RS11D_S87_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3507290.0	0.0	15-101	46.0	61.61576982105987	97.66431347279523	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RS12A_S105_L001_R1_001	clean.RS12A_S105_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4429419.0	0.0	15-101	47.0	68.45829936293697	97.23829558684784	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
clean.RS12A_S105_L002_R1_001	clean.RS12A_S105_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4451307.0	0.0	15-101	47.0	67.78758837746854	97.24919714591692	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
