gene_id,column_name
Pocillopora_acuta_HIv2___RNAseq.g11232.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11251.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11252.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11281.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11284.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11285.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11289.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11290.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11307.t2,0
Pocillopora_acuta_HIv2___RNAseq.g11309.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11321.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11327.t1a,0
Pocillopora_acuta_HIv2___RNAseq.g1134.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11345.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11346.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1135.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11364.t2,0
Pocillopora_acuta_HIv2___RNAseq.g11376.t2a,0
Pocillopora_acuta_HIv2___RNAseq.g11389.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1140.t2,0
Pocillopora_acuta_HIv2___RNAseq.g11410.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11428.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11438.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11443.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11453.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11454.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11474.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11482.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11484.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11486.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11488.t1,0
Pocillopora_acuta_HIv2___RNAseq.g115.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11501.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11503.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11506.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11529.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11530.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11533.t2a,0
Pocillopora_acuta_HIv2___RNAseq.g11533.t2b,0
Pocillopora_acuta_HIv2___RNAseq.g11536.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11540.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11541.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11543.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11550.t1,0
