"","KEGGterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat"
"441","K02541",1,0.998654122426625,0,1
"442","K02542",1,0.998748508355365,0,1
"443","K02561",1,0.997115675744102,0,1
"444","K02577",1,0.997375766393494,0,2
"445","K02583",1,0.994778580436985,0,3
"446","K02599",1,0.99876865421629,0,1
"447","K02602",1,0.998783475379186,0,1
"448","K02603",1,0.998459499607815,0,1
"449","K02604",1,0.998680154766921,0,1
"450","K02605",1,0.998403959016727,0,1
"451","K02606",1,0.998300400395641,0,1
"452","K02608",1,0.998245132208167,0,1
"453","K02649",1,0.998766137787677,0,1
"454","K02677",1,0.998735219090894,0,1
"455","K02678",1,0.997870345818483,0,1
"456","K02684",1,0.998341248716445,0,1
"457","K02685",1,0.998261817980354,0,1
"458","K02725",1,0.998404535599345,0,1
"459","K02727",1,0.998488565108399,0,1
"460","K02728",1,0.997951972825756,0,1
"461","K02729",1,0.998223894801997,0,1
"462","K02730",1,0.997962665295094,0,1
"463","K02731",1,0.998225456321235,0,1
"464","K02732",1,0.997859135210337,0,1
"465","K02734",1,0.998163905105938,0,1
"466","K02735",1,0.995247283011883,0,1
"467","K02736",1,0.998329814312122,0,1
"468","K02737",1,0.998141728002746,0,1
"469","K02738",1,0.998132383863428,0,1
"470","K02739",1,0.997982184213396,0,1
"471","K02830",1,0.998180923477885,0,1
"472","K02835",1,0.99861389034812,0,1
"473","K02838",1,0.998194363287129,0,1
"474","K02865",1,0.996719910241162,0,1
"475","K02866",1,0.99773877670505,0,1
"476","K02867",1,0.997309581425198,0,1
"477","K02868",1,0.994970140817706,0,3
"478","K02870",1,0.997394761114681,0,1
"479","K02872",1,0.997974141597446,0,1
"480","K02873",1,0.996661157599652,0,1
"481","K02874",1,0.996476847606344,0,1
"482","K02875",1,0.998002369601543,0,1
"483","K02877",1,0.996723862353227,0,1
"484","K02878",1,0.996586284460624,0,1
"485","K02879",1,0.996883293000165,0,1
"486","K02880",1,0.997462676096642,0,1
"487","K02881",1,0.997323021593558,0,1
"488","K02882",1,0.998068620041291,0,1
"489","K02883",1,0.997401540779951,0,1
"490","K02884",1,0.997333232017321,0,1
"491","K02885",1,0.998178371595975,0,1
"492","K02886",1,0.995545968989539,0,1
"493","K02888",1,0.998255379650051,0,1
"494","K02889",1,0.997679010889338,0,1
"495","K02890",1,0.997887805954445,0,1
"496","K02891",1,0.997375012519263,0,1
"497","K02892",1,0.998271565885583,0,1
"498","K02893",1,0.997614015402279,0,1
"499","K02894",1,0.99025577643268,0,3
"500","K02895",1,0.997883062454619,0,1
"501","K02896",1,0.996420997592939,0,2
"502","K02898",1,0.996382021151906,0,1
"503","K02900",1,0.997116545206205,0,1
"504","K02903",1,0.997619081070336,0,1
"505","K02905",1,0.997743142331743,0,1
"506","K02906",1,0.997768788602763,0,1
"507","K02908",1,0.997829848491731,0,1
"508","K02910",1,0.997651983339196,0,1
"509","K02911",1,0.995042230519878,0,1
"510","K02912",1,0.998088610121832,0,1
"511","K02915",1,0.997203575931543,0,1
"512","K02917",1,0.996495606637368,0,1
"513","K02918",1,0.996479978985128,0,1
"514","K02920",1,0.997068268152818,0,1
"515","K02921",1,0.996468487786477,0,1
"516","K02922",1,0.99679042848722,0,1
"517","K02923",1,0.996534975898096,0,1
"518","K02925",1,0.99820046005623,0,1
"519","K02926",1,0.998234711329092,0,1
"520","K02927",1,0.99725809943718,0,1
"521","K02929",1,0.997028986896014,0,1
"522","K02930",1,0.998247315947525,0,1
"523","K02932",1,0.99825901937647,0,1
"524","K02934",1,0.998017708400217,0,1
"525","K02935",1,0.997583081445353,0,1
"526","K02936",1,0.998006594009537,0,1
"527","K02937",1,0.997620343442365,0,1
"528","K02938",1,0.997877399871512,0,1
"529","K02940",1,0.998067050904822,0,1
"530","K02941",1,0.998071985937319,0,1
"531","K02942",1,0.996497686625947,0,1
"532","K02943",1,0.995688487623561,0,1
"533","K02946",1,0.996205381724403,0,2
"534","K02947",1,0.998154273792827,0,1
"535","K02948",1,0.997660481991953,0,1
"536","K02949",1,0.997389467942516,0,1
"537","K02950",1,0.996308202805853,0,1
"538","K02951",1,0.996837653099207,0,1
"539","K02953",1,0.997366584932749,0,1
"540","K02955",1,0.998345791797242,0,1
"541","K02956",1,0.998049688498053,0,1
"542","K02957",1,0.997327741373041,0,1
"543","K02958",1,0.997876523238673,0,1
"544","K02960",1,0.998322010638848,0,1
