Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
RS6A_S81_L001_R1_001	RS6A_S81_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3288745.0	0.0	101.0	43.0	60.935565422568395	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RS6A_S81_L002_R1_001	RS6A_S81_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3303359.0	0.0	101.0	43.0	60.551535126932265	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RS6D_S124_L001_R1_001	RS6D_S124_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4697706.0	0.0	101.0	43.0	58.12220550452122	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RS6D_S124_L002_R1_001	RS6D_S124_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4713694.0	0.0	101.0	43.0	57.67627479715314	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RS7B_S120_L001_R1_001	RS7B_S120_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3532781.0	0.0	101.0	44.0	65.16553021818059	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RS7B_S120_L002_R1_001	RS7B_S120_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3531382.0	0.0	101.0	44.0	64.92125941003093	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RS7C_S101_L001_R1_001	RS7C_S101_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4247059.0	0.0	101.0	46.0	52.18989158742515	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
RS7C_S101_L002_R1_001	RS7C_S101_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4268552.0	0.0	101.0	46.0	51.87523079179039	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
RS8B_S94_L001_R1_001	RS8B_S94_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4764375.0	0.0	101.0	43.0	62.75630626702434	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RS8B_S94_L002_R1_001	RS8B_S94_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4783063.0	0.0	101.0	43.0	62.210026564378786	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RS8C_S114_L001_R1_001	RS8C_S114_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5218832.0	0.0	101.0	43.0	68.73698089282776	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	pass	pass
RS8C_S114_L002_R1_001	RS8C_S114_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5222617.0	0.0	101.0	43.0	68.25255823593629	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	pass	pass
RS9A_S98_L001_R1_001	RS9A_S98_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4061543.0	0.0	101.0	43.0	63.12339563875449	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RS9A_S98_L002_R1_001	RS9A_S98_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4068131.0	0.0	101.0	43.0	62.90056995523871	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RS9C_S93_L001_R1_001	RS9C_S93_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4869159.0	0.0	101.0	43.0	62.1138085268383	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RS9C_S93_L002_R1_001	RS9C_S93_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4885486.0	0.0	101.0	43.0	61.57871649982417	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
